call_oi,call_change_oi,call_volume,call_iv,call_ltp,call_change,call_bid_qty,call_bid,call_ask,call_ask_qty,strike,put_bid_qty,put_bid,put_ask,put_ask_qty,put_change,put_ltp,put_iv,put_volume,put_change_oi,put_oi,expiry,expiry_valid,is_holiday,call_data_available,put_data_available,data_quality,spot_price,valuation_date,days_to_expiry,T
4099.0,-340.0,541.0,,1606.05,-116.2,65,1608.85,1619.4,65,22500.0,325,2.55,4.0,520,1.35,3.35,24.39,119547.0,4397.0,60338.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
101.0,99.0,115.0,27.1,1573.5,-199.75,65,1525.9,1613.35,975,22550.0,975,2.8,4.45,910,1.6,3.7,24.04,10869.0,2875.0,3726.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
123.0,98.0,111.0,29.71,1531.4,-118.15,65,1487.95,1565.55,65,22600.0,520,2.7,4.0,520,0.55,2.6,22.26,29345.0,838.0,6293.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
106.0,94.0,116.0,29.03,1481.9,-172.0,65,1444.85,1511.85,780,22650.0,780,2.1,3.85,975,1.5,3.7,22.66,5422.0,-72.0,901.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
170.0,81.0,113.0,21.9,1419.2,-287.6,65,1398.95,1427.4,260,22700.0,585,2.4,4.0,325,2.3,4.3,22.46,45945.0,372.0,12530.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
122.0,102.0,134.0,23.12,1372.05,53.25,780,1329.15,1381.6,130,22750.0,1235,2.8,4.85,975,1.9,4.0,21.53,23012.0,509.0,2630.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
78.0,-2.0,12.0,18.56,1317.45,-294.55,65,1305.6,1324.3,65,22800.0,1235,3.15,4.0,1300,0.9,3.15,20.13,80954.0,284.0,24459.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
295.0,286.0,309.0,,1262.5,-275.95,65,1237.9,1313.65,1690,22850.0,1235,3.4,4.45,975,0.5,3.15,19.45,25748.0,1460.0,3013.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
76.0,-2.0,13.0,25.09,1233.0,-101.5,65,1187.1,1223.2,65,22900.0,520,3.55,4.2,520,0.65,3.4,18.98,111244.0,23049.0,31998.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
3.0,,,22.91,1580.55,,780,1128.0,1213.3,780,22950.0,650,2.95,4.4,845,1.65,4.4,19.01,28943.0,1219.0,3207.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
